Thickness,Reflection1,Reflection2
0.1,0.014517033408541415,0.018833986685197424
0.2,0.026344117750305734,0.03336573344937987
0.3,0.03603317957334883,0.044635850523486065
0.4,0.04401179459627318,0.05342128405508461
0.5,0.05061607182972399,0.060304363470430535
1.0,0.07057586187788555,0.07834225005678792
2.0,0.08374910963396293,0.08679276761472221
3.0,0.08728989501761435,0.08823002103799649
4.0,0.08846161740772115,0.08855964786497084
5.0,0.08888757956466674,0.08865492257919937
10.0,0.08916355449040671,0.08869899859060884
20.0,0.08916704290483887,0.08869926922721715
30.0,0.0891670436241739,0.08869926925467318
40.0,0.08916704362431574,0.08869926925467708
50.0,0.0891670436243156,0.08869926925467705
100.0,0.08916704362431568,0.08869926925467701
