Ratio,Reflection1,Reflection2
0.01,0.08879833404397867,0.08893450466344768
0.1,0.0891569118135873,0.08891078090208852
0.2,0.08902440167551462,0.08891490739229395
0.3,0.08923232697941885,0.08884340527751806
0.4,0.08919871031351467,0.08882693488988665
0.5,0.0892453111942861,0.08877707906209935
1.0,0.08905286022865556,0.08881345265033709
2.0,0.08884431239390152,0.08911084453068686
3.0,0.08896025135363661,0.08885187169707935
4.0,0.08896588377561075,0.088802247095033
5.0,0.08896848061858548,0.0887565355440491
10.0,0.08892388962312765,0.0890258246031697
